"","Trade Date","Index Value","High","Low","Total Market Value","Dividend Market Value"
"1",2014-12-31,0.10916561118041,0.11036376213877,0.10720131129575,0.11864887427229,3.7958219938355
"2",2013-12-31,0.38320124788459,0.38270873532556,0.40874955984723,0.35583827978611,2.4498602762352
"3",2012-12-31,0.1590541811412,0.15477018567072,0.1339629885587,0.17799522657437,-0.94997578031562
"4",2011-12-31,-0.017988065755201,-0.017251416959949,-0.016775888623803,-0.0253966265673,71.874419124886
"5",2010-12-31,0.16910296807174,0.16079595742918,0.16743569064523,0.16504524602385,-0.91765388144384
"6",2009-12-31,0.43887560794658,0.44540934327361,0.46500051650225,0.46975433908532,0.59932721467969
"7",2008-12-31,-0.40540591491094,-0.40537957963134,-0.41465331867019,-0.4056403633753,1.4272291410436
"8",2007-12-31,0.098120722563336,0.094868260181014,0.09640221593334,0.072092514551261,-0.28593409713643
"9",2006-12-31,0.095210672374077,0.10290184934637,0.096759387596512,0.099043121224891,-0.41783955673248
"10",2005-12-31,0.013735152428934,0.011168762239426,0.011900875091395,1025.2947068481,NA
"11",2004-12-31,0.089561358696197,0.084521369769207,0.089155673087518,0.10001960451367,-1
